[Name],,,,,
Momentum and Mass,,,,,
,,,,,
[Data],,,,,
Accumulated Timestep,RMS P-Mass,RMS U-Mom,RMS V-Mom,RMS W-Mom,Current Timestep
249,9.70E-05,1.42E-05,7.84E-05,6.73E-05,1.24E+02
250,6.83E-05,9.99E-06,3.70E-05,3.70E-05,1.25E+02
251,6.57E-05,1.51E-05,3.08E-05,2.02E-05,1.26E+02
252,6.71E-05,7.21E-06,1.52E-05,1.62E-05,1.27E+02
253,8.82E-05,1.93E-05,6.62E-05,4.38E-05,1.28E+02
254,5.52E-05,6.40E-06,2.71E-05,1.43E-05,1.29E+02
255,8.48E-05,1.44E-05,3.71E-05,5.02E-05,1.30E+02
256,8.84E-05,1.33E-05,2.76E-05,4.64E-05,1.31E+02
257,8.71E-05,1.07E-05,1.65E-05,2.93E-05,1.32E+02
258,7.23E-05,1.24E-05,1.80E-05,1.94E-05,1.33E+02
259,8.16E-05,1.13E-05,1.20E-05,1.32E-05,1.34E+02
260,6.52E-05,8.93E-06,7.52E-06,1.01E-05,1.35E+02
261,8.57E-05,1.68E-05,4.38E-05,4.57E-05,1.36E+02
262,7.81E-05,1.17E-05,3.32E-05,2.65E-05,1.37E+02
263,6.39E-05,9.56E-06,2.82E-05,2.64E-05,1.38E+02
264,6.39E-05,8.64E-06,1.99E-05,2.45E-05,1.39E+02
265,8.12E-05,1.19E-05,2.80E-05,3.77E-05,1.40E+02
266,9.68E-05,8.33E-06,1.56E-05,3.85E-05,1.41E+02
267,9.78E-05,8.10E-06,1.38E-05,3.08E-05,1.42E+02
268,6.43E-05,5.71E-06,9.86E-06,1.83E-05,1.43E+02
269,7.59E-05,1.15E-05,4.12E-05,5.43E-05,1.44E+02
270,5.98E-05,7.42E-06,1.68E-05,2.56E-05,1.45E+02
271,6.75E-05,1.32E-05,4.72E-05,4.20E-05,1.46E+02
272,9.33E-05,1.43E-05,7.89E-05,6.56E-05,1.47E+02
273,9.68E-05,1.18E-05,1.93E-05,2.79E-05,1.48E+02
274,8.50E-05,9.57E-06,1.12E-05,2.23E-05,1.49E+02
275,8.54E-05,7.19E-06,2.14E-05,2.12E-05,1.50E+02
276,6.14E-05,1.37E-05,2.67E-05,2.45E-05,1.51E+02
277,8.92E-05,1.91E-05,4.52E-05,4.05E-05,1.52E+02
278,5.72E-05,1.29E-05,2.13E-05,1.65E-05,1.53E+02
